Name_1,Graduate_p75
ADDISON ROAD-SEAT PLEASANT,32.0
ANACOSTIA,
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,
ARLINGTON CEMETERY,
Ashburn,
BALLSTON-MU,
BENNING ROAD,
BETHESDA,54.0
BRADDOCK ROAD,
BRANCH AVE,53.5
BROOKLAND-CUA,
CAPITOL HEIGHTS,32.0
CAPITOL SOUTH,
CHEVERLY,64.0
CLARENDON,
CLEVELAND PARK,
COLLEGE PARK-U OF MD,102.0
COLUMBIA HEIGHTS,
CONGRESS HEIGHTS,124.5
COURT HOUSE,
CRYSTAL CITY,
DEANWOOD,57.0
DUNN LORING-MERRIFIELD,
DUPONT CIRCLE,
EAST FALLS CHURCH,
EASTERN MARKET,
EISENHOWER AVENUE,
FARRAGUT NORTH,
FARRAGUT WEST,
FEDERAL CENTER SW,
FEDERAL TRIANGLE,
FOGGY BOTTOM-GWU,
FOREST GLEN,66.0
FORT TOTTEN,89.0
FRANCONIA-SPRINGFIELD,
FRIENDSHIP HEIGHTS,27.0
GALLERY PL-CHINATOWN,
GEORGIA AVE-PETWORTH,
GLENMONT,89.5
GREENBELT,160.0
GREENSBORO,
GROSVENOR-STRATHMORE,54.0
HUNTINGTON,
Herndon,
Innovation Center,
JUDICIARY SQUARE,
KING ST-OLD TOWN,
L'ENFANT PLAZA,
LANDOVER,58.0
LARGO TOWN CENTER,115.0
Loudoun Gateway,
MCLEAN,
MCPHERSON SQUARE,
MEDICAL CENTER,77.5
METRO CENTER,
MINNESOTA AVE,
MORGAN BOULEVARD,78.0
MT VERNON SQ 7TH ST-CONVENTION CENTER,
NAVY YARD-BALLPARK,
NAYLOR ROAD,67.0
NEW CARROLLTON,162.0
NOMA-GALLAUDET,
PENTAGON,
PENTAGON CITY,
POTOMAC AVE,
PRINCE GEORGE'S PLAZA,91.0
RHODE ISLAND AVE-BRENTWOOD,
ROCKVILLE,99.0
RONALD REAGAN WASHINGTON NATIONAL AIRPORT,
ROSSLYN,
Reston Town Center,
SHADY GROVE,69.0
SHAW-HOWARD U,
SILVER SPRING,81.0
SMITHSONIAN,
SOUTHERN AVENUE,56.0
SPRING HILL,
STADIUM-ARMORY,
SUITLAND,23.0
TAKOMA,47.0
TENLEYTOWN-AU,
TWINBROOK,105.0
TYSONS CORNER,
U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,
UNION STATION,
VAN DORN STREET,
VAN NESS-UDC,
VIENNA/FAIRFAX-GMU,
VIRGINIA SQUARE-GMU,
WATERFRONT,
WEST FALLS CHURCH-VT/UVA,
WEST HYATTSVILLE,98.0
WHEATON,76.0
WHITE FLINT,109.0
WIEHLE-RESTON EAST,
WOODLEY PARK-ZOO/ADAMS MORGAN,
Washington Dulles International Airport,
