Name_1,Jobs_auto,Jobs_transit_p75
ADDISON ROAD-SEAT PLEASANT,82012248.0,53581136.0
ANACOSTIA,97007534.0,103249729.0
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,55411998.0,108026328.0
ARLINGTON CEMETERY,30796448.0,12676878.0
Ashburn,20196612.0,0.0
BALLSTON-MU,218781896.0,404374618.0
BENNING ROAD,165784751.0,190695800.0
BETHESDA,172461623.0,304384811.0
BRADDOCK ROAD,138871371.0,196281390.0
BRANCH AVE,30822408.0,15923226.0
BROOKLAND-CUA,136404851.0,190758768.0
CAPITOL HEIGHTS,166693805.0,157286245.0
CAPITOL SOUTH,158458284.0,249861725.0
CHEVERLY,70846410.0,33595066.0
CLARENDON,155519493.0,245767439.0
CLEVELAND PARK,102313527.0,153303158.0
COLLEGE PARK-U OF MD,34717278.0,40744491.0
COLUMBIA HEIGHTS,149818608.0,236404233.0
CONGRESS HEIGHTS,96023683.0,104620221.0
COURT HOUSE,120969894.0,181707052.0
CRYSTAL CITY,74488998.0,85468284.0
DEANWOOD,97937042.0,100125160.0
DUNN LORING-MERRIFIELD,23819116.0,22100828.0
DUPONT CIRCLE,173915188.0,305986945.0
EAST FALLS CHURCH,194832752.0,325451176.0
EASTERN MARKET,240719869.0,347604437.0
EISENHOWER AVENUE,67799508.0,85316569.0
FARRAGUT NORTH,145780465.0,288265957.0
FARRAGUT WEST,123143616.0,250139826.0
FEDERAL CENTER SW,55406609.0,99318338.0
FEDERAL TRIANGLE,54756125.0,112060561.0
FOGGY BOTTOM-GWU,116384707.0,225706215.0
FOREST GLEN,175136901.0,254032660.0
FORT TOTTEN,161927344.0,221210061.0
FRANCONIA-SPRINGFIELD,29758761.0,15533314.0
FRIENDSHIP HEIGHTS,167191175.0,248914666.0
GALLERY PL-CHINATOWN,84454069.0,162002495.0
GEORGIA AVE-PETWORTH,206753309.0,307343303.0
GLENMONT,74060152.0,92178144.0
GREENBELT,76323177.0,75001393.0
GREENSBORO,14806639.0,12467942.0
GROSVENOR-STRATHMORE,60157076.0,68699270.0
HUNTINGTON,66456782.0,69477933.0
Herndon,35854901.0,16247212.0
Innovation Center,13290467.0,2554459.0
JUDICIARY SQUARE,64151227.0,121222863.0
KING ST-OLD TOWN,114823374.0,165762189.0
L'ENFANT PLAZA,29068485.0,52771489.0
LANDOVER,95703804.0,44658342.0
LARGO TOWN CENTER,26764662.0,6063453.0
Loudoun Gateway,6669439.0,0.0
MCLEAN,55727707.0,20149960.0
MCPHERSON SQUARE,138680587.0,273706258.0
MEDICAL CENTER,138374154.0,226909312.0
METRO CENTER,87582294.0,173235660.0
MINNESOTA AVE,130829330.0,147143278.0
MORGAN BOULEVARD,36871306.0,20695689.0
MT VERNON SQ 7TH ST-CONVENTION CENTER,152000307.0,265039783.0
NAVY YARD-BALLPARK,100474727.0,155401728.0
NAYLOR ROAD,59262296.0,48303569.0
NEW CARROLLTON,50601772.0,57036631.0
NOMA-GALLAUDET,112233802.0,170168751.0
PENTAGON,41020127.0,28308163.0
PENTAGON CITY,99050136.0,115222710.0
POTOMAC AVE,236262425.0,298790192.0
PRINCE GEORGE'S PLAZA,76908030.0,119656821.0
RHODE ISLAND AVE-BRENTWOOD,140467589.0,193068923.0
ROCKVILLE,91842927.0,150418669.0
RONALD REAGAN WASHINGTON NATIONAL AIRPORT,37412712.0,47025766.0
ROSSLYN,141463409.0,207526524.0
Reston Town Center,49050992.0,28336975.0
SHADY GROVE,56178852.0,52870379.0
SHAW-HOWARD U,190668789.0,301043157.0
SILVER SPRING,165012821.0,236149441.0
SMITHSONIAN,12488414.0,23855778.0
SOUTHERN AVENUE,66605818.0,68213443.0
SPRING HILL,22653215.0,16981145.0
STADIUM-ARMORY,182778290.0,229525847.0
SUITLAND,43693611.0,30570767.0
TAKOMA,189332631.0,259542566.0
TENLEYTOWN-AU,163411374.0,258397826.0
TWINBROOK,80679706.0,125475146.0
TYSONS CORNER,24436780.0,10927347.0
U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,160490774.0,253216973.0
UNION STATION,91785409.0,160002435.0
VAN DORN STREET,30325654.0,22942905.0
VAN NESS-UDC,154465287.0,234289568.0
VIENNA/FAIRFAX-GMU,51464950.0,50595380.0
VIRGINIA SQUARE-GMU,171454892.0,305510338.0
WATERFRONT,50692191.0,84535731.0
WEST FALLS CHURCH-VT/UVA,78478959.0,51378146.0
WEST HYATTSVILLE,90279553.0,130794390.0
WHEATON,113895253.0,135423522.0
WHITE FLINT,50511648.0,79317648.0
WIEHLE-RESTON EAST,9960997.0,7073484.0
WOODLEY PARK-ZOO/ADAMS MORGAN,129056659.0,205673460.0
Washington Dulles International Airport,3178620.0,0.0
