Name_1,proportional_street_density_p75
ADDISON ROAD-SEAT PLEASANT,485.96826133921445
ANACOSTIA,383.40945643096114
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,933.3396016492909
ARLINGTON CEMETERY,513.6174986583596
Ashburn,149.54335095096502
BALLSTON-MU,3126.879587874678
BENNING ROAD,1810.6866600611302
BETHESDA,1104.6798916680114
BRADDOCK ROAD,2311.566806281685
BRANCH AVE,126.28895484669876
BROOKLAND-CUA,1492.9393640072853
CAPITOL HEIGHTS,1887.1726473430788
CAPITOL SOUTH,1286.3117407791435
CHEVERLY,240.13078474180585
CLARENDON,2996.5976576402186
CLEVELAND PARK,1394.3544709321595
COLLEGE PARK-U OF MD,1080.3396047144151
COLUMBIA HEIGHTS,5130.057181382596
CONGRESS HEIGHTS,1102.0736498304223
COURT HOUSE,1848.6651669874407
CRYSTAL CITY,651.9387415360168
DEANWOOD,982.0075537675282
DUNN LORING-MERRIFIELD,384.2067397453757
DUPONT CIRCLE,2082.9131588486553
EAST FALLS CHURCH,1231.7700128271158
EASTERN MARKET,1435.378619871853
EISENHOWER AVENUE,1212.6624288990959
FARRAGUT NORTH,2011.5808777868042
FARRAGUT WEST,1748.7164425649487
FEDERAL CENTER SW,942.7943783624214
FEDERAL TRIANGLE,984.4297388351356
FOGGY BOTTOM-GWU,1425.4163010532468
FOREST GLEN,732.0929379780138
FORT TOTTEN,2610.0573390124437
FRANCONIA-SPRINGFIELD,290.11573907927993
FRIENDSHIP HEIGHTS,2490.3884414912554
GALLERY PL-CHINATOWN,1397.8186978333658
GEORGIA AVE-PETWORTH,2673.8181394618796
GLENMONT,754.7399102846374
GREENBELT,159.10033294382177
GREENSBORO,164.8792069985083
GROSVENOR-STRATHMORE,977.6538919352174
HUNTINGTON,619.6832734741248
Herndon,503.6781752015865
Innovation Center,84.11498845930794
JUDICIARY SQUARE,1128.7299576293444
KING ST-OLD TOWN,2344.6533265381527
L'ENFANT PLAZA,773.7666205546595
LANDOVER,552.1307301560172
LARGO TOWN CENTER,207.40503514203044
Loudoun Gateway,8.628423177297032
MCLEAN,442.52751378661486
MCPHERSON SQUARE,1570.3950557965138
MEDICAL CENTER,937.359818629137
METRO CENTER,1357.7350182593295
MINNESOTA AVE,1136.7378631514316
MORGAN BOULEVARD,200.79445629758595
MT VERNON SQ 7TH ST-CONVENTION CENTER,3891.9422883241846
NAVY YARD-BALLPARK,601.5059361741924
NAYLOR ROAD,1029.7146769596454
NEW CARROLLTON,445.5566936595902
NOMA-GALLAUDET,1216.0289491293693
PENTAGON,492.8692634521488
PENTAGON CITY,957.1823496797208
POTOMAC AVE,1881.526946774762
PRINCE GEORGE'S PLAZA,856.4312524639004
RHODE ISLAND AVE-BRENTWOOD,1467.5236842886718
ROCKVILLE,461.5905530228989
RONALD REAGAN WASHINGTON NATIONAL AIRPORT,492.532787591495
ROSSLYN,1118.4472695000165
Reston Town Center,620.3902449368937
SHADY GROVE,130.3319404441645
SHAW-HOWARD U,4767.278956010098
SILVER SPRING,2277.6756377894076
SMITHSONIAN,597.9232692171919
SOUTHERN AVENUE,1794.298299839042
SPRING HILL,154.2040325044387
STADIUM-ARMORY,1969.3241128404704
SUITLAND,244.1682431467698
TAKOMA,2607.26549856115
TENLEYTOWN-AU,1535.779999861873
TWINBROOK,806.1338048072374
TYSONS CORNER,474.9671250660527
U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,6257.650305114934
UNION STATION,1348.071291161776
VAN DORN STREET,727.2836983577362
VAN NESS-UDC,1201.4452130516222
VIENNA/FAIRFAX-GMU,906.1469382885023
VIRGINIA SQUARE-GMU,3702.6187718035417
WATERFRONT,753.4904666747477
WEST FALLS CHURCH-VT/UVA,483.7957530496239
WEST HYATTSVILLE,1191.128390703115
WHEATON,703.5904566771455
WHITE FLINT,585.8261644083702
WIEHLE-RESTON EAST,233.71579116686408
WOODLEY PARK-ZOO/ADAMS MORGAN,2853.1419017110793
Washington Dulles International Airport,2.9499756641341883
