ID,PRIMARY_NAME_FY23,walkshed_filename,Name_1,Workers 16 and Over_p5,proportionjobs_p5
MSTN_062,Addison Road,ADDISON ROAD-SEAT PLEASANT,ADDISON ROAD-SEAT PLEASANT,1030,116.60812810148555
MSTN_001,Anacostia,ANACOSTIA,ANACOSTIA,9715,1763.6093296430138
MSTN_002,Archives,ARCHIVES-NAVY MEMORIAL-PENN QUARTER,ARCHIVES-NAVY MEMORIAL-PENN QUARTER,122395,56593.75807566759
MSTN_065,Arlington Cemetery,ARLINGTON CEMETERY,ARLINGTON CEMETERY,295,35.889126928288455
MSTN_097,Ashburn,Ashburn,Ashburn,2790,278.60787410298497
MSTN_068,Ballston-MU,BALLSTON-MU,BALLSTON-MU,29220,7944.702634839751
MSTN_003,Benning Road,BENNING ROAD,BENNING ROAD,2580,891.5114773726925
MSTN_052,Bethesda,BETHESDA,BETHESDA,36090,5732.747584304455
MSTN_078,Braddock Road,BRADDOCK ROAD,BRADDOCK ROAD,7995,2708.00375321832
MSTN_077,Branch Ave,BRANCH AVE,BRANCH AVE,1600,519.46603019895
MSTN_004,Brookland-CUA,BROOKLAND-CUA,BROOKLAND-CUA,8840,2231.1579467634588
MSTN_084,Capitol Heights,CAPITOL HEIGHTS,CAPITOL HEIGHTS,2055,403.0935092590662
MSTN_005,Capitol South,CAPITOL SOUTH,CAPITOL SOUTH,39765,14219.566557188451
MSTN_058,Cheverly,CHEVERLY,CHEVERLY,3635,300.27181977504614
MSTN_063,Clarendon,CLARENDON,CLARENDON,25570,7634.453656506477
MSTN_006,Cleveland Park,CLEVELAND PARK,CLEVELAND PARK,9725,2352.866219646456
MSTN_053,College Park-U of Md,COLLEGE PARK-U OF MD,COLLEGE PARK-U OF MD,8800,1176.5415336642964
MSTN_007,Columbia Heights,COLUMBIA HEIGHTS,COLUMBIA HEIGHTS,9215,4230.528317159808
MSTN_008,Congress Heights,CONGRESS HEIGHTS,CONGRESS HEIGHTS,4480,1084.8677322475605
MSTN_061,Court House,COURT HOUSE,COURT HOUSE,42860,6953.156218019196
MSTN_072,Crystal City,CRYSTAL CITY,CRYSTAL CITY,35830,5207.066897578674
MSTN_009,Deanwood,DEANWOOD,DEANWOOD,1720,373.3698638853905
MSTN_085,Downtown Largo,LARGO TOWN CENTER,LARGO TOWN CENTER,7510,1244.5036580823173
MSTN_095,Dulles Airport,Washington Dulles International Airport,Washington Dulles International Airport,10875,53.85993107247275
MSTN_067,Dunn Loring,DUNN LORING-MERRIFIELD,DUNN LORING-MERRIFIELD,7645,1303.8772434356297
MSTN_010,Dupont Circle,DUPONT CIRCLE,DUPONT CIRCLE,124545,45642.32271291314
MSTN_064,East Falls Church,EAST FALLS CHURCH,EAST FALLS CHURCH,3135,536.4628360476229
MSTN_011,Eastern Market,EASTERN MARKET,EASTERN MARKET,24900,10970.555472819717
MSTN_080,Eisenhower Ave,EISENHOWER AVENUE,EISENHOWER AVENUE,19150,3821.347261847408
MSTN_012,Farragut North,FARRAGUT NORTH,FARRAGUT NORTH,167295,82641.8406192063
MSTN_013,Farragut West,FARRAGUT WEST,FARRAGUT WEST,178680,93347.31377356143
MSTN_014,Federal Center SW,FEDERAL CENTER SW,FEDERAL CENTER SW,54175,16342.730662277854
MSTN_015,Federal Triangle,FEDERAL TRIANGLE,FEDERAL TRIANGLE,117305,37557.482190453484
MSTN_016,Foggy Bottom-GWU,FOGGY BOTTOM-GWU,FOGGY BOTTOM-GWU,115840,23740.47926706403
MSTN_048,Forest Glen,FOREST GLEN,FOREST GLEN,7465,1141.444855415237
MSTN_017,Fort Totten,FORT TOTTEN,FORT TOTTEN,1930,402.0300642854227
MSTN_083,Franconia-Springfield,FRANCONIA-SPRINGFIELD,FRANCONIA-SPRINGFIELD,9140,872.552478696136
MSTN_018,Friendship Heights,FRIENDSHIP HEIGHTS,FRIENDSHIP HEIGHTS,18170,4273.584995585161
MSTN_019,Gallery Place,GALLERY PL-CHINATOWN,GALLERY PL-CHINATOWN,133860,60696.55774024921
MSTN_020,Georgia Ave-Petworth,GEORGIA AVE-PETWORTH,GEORGIA AVE-PETWORTH,6610,1767.9223040916809
MSTN_044,Glenmont,GLENMONT,GLENMONT,2255,353.27579053841976
MSTN_049,Greenbelt,GREENBELT,GREENBELT,11345,1133.004165448411
MSTN_089,Greensboro,GREENSBORO,GREENSBORO,38750,4213.829005460244
MSTN_047,Grosvenor-Strathmore,GROSVENOR-STRATHMORE,GROSVENOR-STRATHMORE,5385,685.2311662737039
MSTN_093,Herndon,Herndon,Herndon,18985,3359.981516537653
MSTN_082,Huntington,HUNTINGTON,HUNTINGTON,1815,451.44174459458753
MSTN_054,Hyattsville Crossing,PRINCE GEORGE'S PLAZA,PRINCE GEORGE'S PLAZA,5390,1213.9781047751908
MSTN_094,Innovation Center,Innovation Center,Innovation Center,10175,1662.330134312446
MSTN_021,Judiciary Square,JUDICIARY SQUARE,JUDICIARY SQUARE,95265,41754.027580751244
MSTN_079,King St-Old Town,KING ST-OLD TOWN,KING ST-OLD TOWN,29900,7291.814339245605
MSTN_022,L'Enfant Plaza,L'ENFANT PLAZA,L'ENFANT PLAZA,68525,14292.064526637942
MSTN_057,Landover,LANDOVER,LANDOVER,2200,349.1212870764418
