Name_1,CAPACITY_p75
ANACOSTIA,71
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,988
ARLINGTON CEMETERY,19
BALLSTON-MU,216
BENNING ROAD,56
BETHESDA,127
BRADDOCK ROAD,356
BROOKLAND-CUA,139
CAPITOL HEIGHTS,38
CAPITOL SOUTH,568
CLARENDON,276
CLEVELAND PARK,75
COLLEGE PARK-U OF MD,17
COLUMBIA HEIGHTS,531
CONGRESS HEIGHTS,132
COURT HOUSE,411
CRYSTAL CITY,250
DEANWOOD,37
DUNN LORING-MERRIFIELD,52
DUPONT CIRCLE,864
EAST FALLS CHURCH,58
EASTERN MARKET,505
EISENHOWER AVENUE,114
FARRAGUT NORTH,1306
FARRAGUT WEST,1230
FEDERAL CENTER SW,519
FEDERAL TRIANGLE,903
FOGGY BOTTOM-GWU,863
FOREST GLEN,15
FORT TOTTEN,68
FRIENDSHIP HEIGHTS,91
GALLERY PL-CHINATOWN,1023
GEORGIA AVE-PETWORTH,326
GREENBELT,11
GREENSBORO,120
HUNTINGTON,27
JUDICIARY SQUARE,822
KING ST-OLD TOWN,255
L'ENFANT PLAZA,552
LARGO TOWN CENTER,32
MCLEAN,41
MCPHERSON SQUARE,1249
MEDICAL CENTER,86
METRO CENTER,1051
MINNESOTA AVE,56
MT VERNON SQ 7TH ST-CONVENTION CENTER,973
NAVY YARD-BALLPARK,410
NOMA-GALLAUDET,581
PENTAGON,125
PENTAGON CITY,217
POTOMAC AVE,263
PRINCE GEORGE'S PLAZA,79
RHODE ISLAND AVE-BRENTWOOD,197
ROCKVILLE,86
RONALD REAGAN WASHINGTON NATIONAL AIRPORT,169
ROSSLYN,336
Reston Town Center,198
SHADY GROVE,93
SHAW-HOWARD U,601
SILVER SPRING,161
SMITHSONIAN,642
SOUTHERN AVENUE,83
SPRING HILL,65
STADIUM-ARMORY,191
TAKOMA,87
TENLEYTOWN-AU,154
TWINBROOK,44
TYSONS CORNER,116
U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,647
UNION STATION,684
VAN DORN STREET,64
VAN NESS-UDC,87
VIENNA/FAIRFAX-GMU,30
VIRGINIA SQUARE-GMU,265
WATERFRONT,511
WEST FALLS CHURCH-VT/UVA,31
WEST HYATTSVILLE,32
WHEATON,105
WHITE FLINT,86
WIEHLE-RESTON EAST,53
WOODLEY PARK-ZOO/ADAMS MORGAN,209
