,station_name_o,lat_o,lon_o,station_name_d,lat_d,lon_d,google_driving_minutes,google_driving_miles
5473,Morgan Boulevard,38.89,-76.87,Anacostia,38.86,-77.0,23.43,10.99
5569,Shaw-Howard U,38.91,-77.02,Anacostia,38.86,-77.0,11.22,5.02
7009,Shaw-Howard U,38.91,-77.02,Anacostia,38.86,-77.0,14.3,5.57
5665,Navy Yard-Ballpark,38.88,-77.01,Anacostia,38.86,-77.0,7.83,2.53
5761,Naylor Road,38.85,-76.96,Anacostia,38.86,-77.0,7.73,3.16
5857,New Carrollton,38.95,-76.87,Anacostia,38.86,-77.0,20.58,11.45
5953,NoMa-Gallaudet U,38.91,-77.0,Anacostia,38.86,-77.0,15.18,5.64
6049,Pentagon,38.87,-77.05,Anacostia,38.86,-77.0,13.05,6.69
6145,Pentagon City,38.86,-77.06,Anacostia,38.86,-77.0,11.63,6.3
6241,Potomac Ave,38.88,-76.99,Anacostia,38.86,-77.0,7.15,2.83
6337,Prince George's Plaza,38.97,-76.96,Anacostia,38.86,-77.0,25.88,10.94
6433,Reston Town Center,38.95,-77.36,Anacostia,38.86,-77.0,41.35,36.81
6529,Rhode Island Ave,38.92,-77.0,Anacostia,38.86,-77.0,20.85,6.9
6625,Rockville,39.08,-77.15,Anacostia,38.86,-77.0,40.45,27.23
6721,Ronald Reagan Washington National Airport,38.85,-77.04,Anacostia,38.86,-77.0,10.67,6.45
6817,Rosslyn,38.9,-77.07,Anacostia,38.86,-77.0,13.68,7.72
6913,Shady Grove,39.12,-77.16,Anacostia,38.86,-77.0,42.7,32.11
7105,Silver Spring,38.99,-77.03,Anacostia,38.86,-77.0,31.95,21.57
7297,Southern Ave,38.84,-76.98,Anacostia,38.86,-77.0,10.65,2.94
7393,Spring Hill,38.93,-77.24,Anacostia,38.86,-77.0,25.93,20.78
7489,Stadium-Armory,38.89,-76.98,Anacostia,38.86,-77.0,7.52,4.43
7585,Suitland,38.84,-76.93,Anacostia,38.86,-77.0,8.77,4.66
7681,Takoma,38.98,-77.02,Anacostia,38.86,-77.0,27.72,10.01
7777,Tenleytown-AU,38.95,-77.08,Anacostia,38.86,-77.0,25.87,10.87
7873,Twinbrook,39.06,-77.12,Anacostia,38.86,-77.0,40.42,27.14
7969,Tysons Corner,38.92,-77.22,Anacostia,38.86,-77.0,27.77,25.24
8065,U Street,38.92,-77.03,Anacostia,38.86,-77.0,17.7,6.05
8161,Union Station,38.9,-77.01,Anacostia,38.86,-77.0,11.92,4.49
8257,Van Dorn Street,38.8,-77.13,Anacostia,38.86,-77.0,16.25,12.1
8449,Vienna,38.88,-77.27,Anacostia,38.86,-77.0,30.73,25.27
8545,Virginia Sq-GMU,38.88,-77.1,Anacostia,38.86,-77.0,17.15,9.19
8737,West Falls Church,38.9,-77.19,Anacostia,38.86,-77.0,20.25,15.89
8833,West Hyattsville,38.96,-76.97,Anacostia,38.86,-77.0,25.73,10.75
8929,Wheaton,39.04,-77.05,Anacostia,38.86,-77.0,31.95,23.31
9025,White Flint,39.05,-77.11,Anacostia,38.86,-77.0,36.85,27.28
9121,Wiehle-Reston East,38.95,-77.34,Anacostia,38.86,-77.0,29.83,25.91
9217,Woodley Park,38.92,-77.05,Anacostia,38.86,-77.0,17.92,8.65
1,Addison Road,38.89,-76.9,Archives,38.89,-77.02,26.68,7.66
47,Addison Road,38.89,-76.9,Archives,38.89,-77.02,22.45,10.48
97,Anacostia,38.86,-77.0,Archives,38.89,-77.02,9.95,3.97
143,Anacostia,38.86,-77.0,Archives,38.89,-77.02,7.18,3.38
239,Archives,38.89,-77.02,Archives,38.89,-77.02,3.25,0.59
4610,Archives,38.89,-77.02,Archives,38.89,-77.02,4.62,0.66
290,Arlington Cemetery,38.88,-77.06,Archives,38.89,-77.02,10.67,2.85
335,Arlington Cemetery,38.88,-77.06,Archives,38.89,-77.02,8.88,2.57
386,Ashburn,39.0,-77.49,Archives,38.89,-77.02,37.82,30.0
431,Ashburn,39.0,-77.49,Archives,38.89,-77.02,35.95,30.31
482,Ballston-MU,38.88,-77.11,Archives,38.89,-77.02,18.27,6.67
527,Ballston-MU,38.88,-77.11,Archives,38.89,-77.02,16.12,6.61
578,Benning Road,38.89,-76.94,Archives,38.89,-77.02,20.1,4.8
623,Benning Road,38.89,-76.94,Archives,38.89,-77.02,16.3,7.86
674,Bethesda,38.98,-77.09,Archives,38.89,-77.02,34.93,10.18
719,Bethesda,38.98,-77.09,Archives,38.89,-77.02,33.15,9.9
770,Braddock Road,38.81,-77.05,Archives,38.89,-77.02,19.3,7.23
815,Braddock Road,38.81,-77.05,Archives,38.89,-77.02,19.03,8.37
866,Branch Ave,38.83,-76.91,Archives,38.89,-77.02,23.12,10.39
911,Branch Ave,38.83,-76.91,Archives,38.89,-77.02,20.35,9.8
962,Brookland-CUA,38.93,-76.99,Archives,38.89,-77.02,17.78,3.9
1007,Brookland-CUA,38.93,-76.99,Archives,38.89,-77.02,16.82,4.91
1058,Capitol Heights,38.89,-76.91,Archives,38.89,-77.02,24.03,6.42
1103,Capitol Heights,38.89,-76.91,Archives,38.89,-77.02,20.72,7.67
1154,Capitol South,38.89,-77.01,Archives,38.89,-77.02,8.0,1.4
1199,Capitol South,38.89,-77.01,Archives,38.89,-77.02,6.68,1.12
1250,Cheverly,38.92,-76.92,Archives,38.89,-77.02,24.85,7.15
1295,Cheverly,38.92,-76.92,Archives,38.89,-77.02,17.2,8.74
1346,Clarendon,38.89,-77.1,Archives,38.89,-77.02,16.03,6.16
1391,Clarendon,38.89,-77.1,Archives,38.89,-77.02,13.55,5.93
1442,Cleveland Park,38.94,-77.06,Archives,38.89,-77.02,18.55,6.35
1487,Cleveland Park,38.94,-77.06,Archives,38.89,-77.02,16.77,6.07
8354,Cleveland Park,38.94,-77.06,Archives,38.89,-77.02,21.33,7.0
8400,Cleveland Park,38.94,-77.06,Archives,38.89,-77.02,19.55,6.72
1538,College Park-U of Md,38.98,-76.93,Archives,38.89,-77.02,31.63,12.86
1583,College Park-U of Md,38.98,-76.93,Archives,38.89,-77.02,28.87,12.27
1634,Columbia Heights,38.93,-77.03,Archives,38.89,-77.02,17.65,2.89
1679,Columbia Heights,38.93,-77.03,Archives,38.89,-77.02,19.7,3.49
1730,Congress Heights,38.85,-76.99,Archives,38.89,-77.02,15.65,6.42
1775,Congress Heights,38.85,-76.99,Archives,38.89,-77.02,12.88,5.83
1826,Court House,38.89,-77.09,Archives,38.89,-77.02,14.6,4.03
1871,Court House,38.89,-77.09,Archives,38.89,-77.02,12.73,4.34
1922,Crystal City,38.86,-77.05,Archives,38.89,-77.02,10.12,3.41
1967,Crystal City,38.86,-77.05,Archives,38.89,-77.02,8.22,3.14
2018,Deanwood,38.91,-76.93,Archives,38.89,-77.02,19.73,7.9
2063,Deanwood,38.91,-76.93,Archives,38.89,-77.02,16.97,7.3
2114,Dulles Airport,38.96,-77.45,Archives,38.89,-77.02,37.37,27.33
2159,Dulles Airport,38.96,-77.45,Archives,38.89,-77.02,35.5,27.63
2210,Dunn Loring,38.88,-77.23,Archives,38.89,-77.02,21.25,12.92
2255,Dunn Loring,38.88,-77.23,Archives,38.89,-77.02,19.38,13.22
2306,Dupont Circle,38.91,-77.04,Archives,38.89,-77.02,12.5,1.98
2351,Dupont Circle,38.91,-77.04,Archives,38.89,-77.02,14.47,2.72
2402,East Falls Church,38.89,-77.16,Archives,38.89,-77.02,17.43,8.42
2447,East Falls Church,38.89,-77.16,Archives,38.89,-77.02,15.57,8.72
2498,Eastern Market,38.88,-77.0,Archives,38.89,-77.02,10.62,2.01
2543,Eastern Market,38.88,-77.0,Archives,38.89,-77.02,9.3,1.73
2594,Eisenhower Ave,38.8,-77.07,Archives,38.89,-77.02,24.0,14.16
2639,Eisenhower Ave,38.8,-77.07,Archives,38.89,-77.02,22.87,8.54
2690,Farragut West,38.9,-77.04,Archives,38.89,-77.02,11.23,1.65
2735,Farragut West,38.9,-77.04,Archives,38.89,-77.02,12.1,2.29
2786,Farragut West,38.9,-77.04,Archives,38.89,-77.02,12.12,1.7
2831,Farragut West,38.9,-77.04,Archives,38.89,-77.02,12.52,2.39
2882,Waterfront,38.88,-77.02,Archives,38.89,-77.02,6.62,0.93
2927,Waterfront,38.88,-77.02,Archives,38.89,-77.02,3.9,0.52
8642,Waterfront,38.88,-77.02,Archives,38.89,-77.02,7.92,1.42
8688,Waterfront,38.88,-77.02,Archives,38.89,-77.02,5.63,0.79
2978,Smithsonian,38.89,-77.03,Archives,38.89,-77.02,3.45,0.47
3023,Smithsonian,38.89,-77.03,Archives,38.89,-77.02,4.75,0.93
7202,Smithsonian,38.89,-77.03,Archives,38.89,-77.02,4.47,0.82
7248,Smithsonian,38.89,-77.03,Archives,38.89,-77.02,2.68,0.54
3074,Foggy Bottom-GWU,38.9,-77.05,Archives,38.89,-77.02,14.45,2.01
3119,Foggy Bottom-GWU,38.9,-77.05,Archives,38.89,-77.02,12.62,2.59
3170,Forest Glen,39.02,-77.04,Archives,38.89,-77.02,36.8,9.19
3215,Forest Glen,39.02,-77.04,Archives,38.89,-77.02,34.98,12.6
3266,Fort Totten,38.95,-77.0,Archives,38.89,-77.02,25.73,5.74
3311,Fort Totten,38.95,-77.0,Archives,38.89,-77.02,24.77,6.75
3362,Franconia-Springfield,38.77,-77.17,Archives,38.89,-77.02,23.07,14.03
3407,Franconia-Springfield,38.77,-77.17,Archives,38.89,-77.02,21.28,13.75
3458,Friendship Heights,38.96,-77.09,Archives,38.89,-77.02,27.57,8.53
3503,Friendship Heights,38.96,-77.09,Archives,38.89,-77.02,25.78,8.25
3554,Gallery Place,38.9,-77.02,Archives,38.89,-77.02,2.38,0.33
3599,Gallery Place,38.9,-77.02,Archives,38.89,-77.02,5.65,0.92
4418,Gallery Place,38.9,-77.02,Archives,38.89,-77.02,2.9,0.4
4463,Gallery Place,38.9,-77.02,Archives,38.89,-77.02,5.68,1.0
3650,Georgia Ave-Petworth,38.94,-77.02,Archives,38.89,-77.02,18.78,2.99
3695,Georgia Ave-Petworth,38.94,-77.02,Archives,38.89,-77.02,19.82,3.74
3746,Glenmont,39.06,-77.05,Archives,38.89,-77.02,47.2,12.68
3791,Glenmont,39.06,-77.05,Archives,38.89,-77.02,40.8,26.31
3842,Greenbelt,39.01,-76.91,Archives,38.89,-77.02,29.47,18.99
3887,Greenbelt,39.01,-76.91,Archives,38.89,-77.02,26.7,18.4
3938,Greensboro,38.92,-77.23,Archives,38.89,-77.02,26.6,16.02
3983,Greensboro,38.92,-77.23,Archives,38.89,-77.02,24.73,16.33
4034,Grosvenor-Strathmore,39.03,-77.1,Archives,38.89,-77.02,37.98,23.06
