,station_name_o,station_name_d,bus_transit_minutes,metro_transit_minutes,bus_competativeness_index
558,Capitol South,Union Station,22.07,20,0.9062075215224287
559,Capitol South,Van Ness-UDC,,26,0.0
560,Capitol South,Waterfront,8.65,11,1.2716763005780347
561,Capitol South,Waterfront,20.35,11,0.5405405405405405
562,Capitol South,Woodley Park,43.72,22,0.5032021957913998
563,Capitol South,Shady Grove,142.0,53,0.3732394366197183
564,Capitol South,Rockville,118.9,49,0.4121110176619007
565,Capitol South,Twinbrook,107.4,46,0.42830540037243947
566,Capitol South,Glenmont,103.35,45,0.4354136429608128
567,Capitol South,White Flint,97.58,43,0.4406640705062513
568,Capitol South,Wheaton,92.88,42,0.4521963824289406
569,Capitol South,Grosvenor-Strathmore,90.28,40,0.44306601683650865
570,Capitol South,Forest Glen,77.48,39,0.5033557046979865
571,Capitol South,Greenbelt,83.0,39,0.46987951807228917
572,Capitol South,Medical Center,100.7,37,0.3674280039721946
573,Capitol South,Silver Spring,62.55,36,0.5755395683453237
574,Capitol South,Bethesda,86.95,34,0.39102932719954
575,Capitol South,College Park-U of Md,55.77,36,0.6455083378160301
576,Capitol South,Prince George's Plaza,81.92,33,0.40283203125
577,Capitol South,West Hyattsville,80.83,30,0.37114932574539156
578,Capitol South,New Carrollton,27.65,20,0.7233273056057866
579,Capitol South,Landover,22.08,17,0.7699275362318841
580,Capitol South,Cheverly,21.15,14,0.6619385342789599
581,Capitol South,West Falls Church,55.0,33,0.6
582,Capitol South,Rosslyn,51.5,18,0.34951456310679613
583,Capitol South,Court House,59.25,21,0.35443037974683544
584,Capitol South,Addison Road,21.28,15,0.7048872180451128
585,Capitol South,Clarendon,62.08,23,0.3704896907216495
586,Capitol South,East Falls Church,81.33,30,0.3688675765400221
587,Capitol South,Arlington Cemetery,44.43,20,0.45014629754670266
588,Capitol South,Virginia Sq-GMU,68.93,24,0.3481793123458581
589,Capitol South,Dunn Loring,108.47,37,0.34110814049967736
590,Capitol South,Ballston-MU,71.88,26,0.36171396772398445
591,Capitol South,Vienna,63.25,41,0.6482213438735178
592,Capitol South,Pentagon,18.52,14,0.755939524838013
593,Capitol South,Pentagon City,20.17,15,0.7436787307882994
594,Capitol South,Crystal City,29.72,17,0.5720053835800808
595,Capitol South,Ronald Reagan Washington National Airport,21.08,19,0.9013282732447818
596,Capitol South,Naylor Road,35.08,24,0.6841505131128849
597,Capitol South,Suitland,48.27,27,0.5593536357986326
598,Capitol South,Southern Ave,35.57,21,0.5903851560303627
599,Capitol South,Branch Ave,51.28,30,0.5850234009360374
600,Capitol South,Braddock Road,27.08,24,0.8862629246676514
601,Capitol South,King St-Old Town,88.13,26,0.2950187223419948
602,Capitol South,Eisenhower Ave,86.43,28,0.3239615874117783
603,Capitol South,Van Dorn Street,69.9,37,0.5293276108726752
604,Capitol South,Huntington,38.27,30,0.7839038411288215
605,Capitol South,Franconia-Springfield,134.58,43,0.3195125575865656
606,Capitol South,Capitol Heights,57.92,13,0.2244475138121547
607,Capitol South,Largo Town Center,28.3,21,0.7420494699646643
608,Capitol South,Morgan Boulevard,23.75,18,0.7578947368421053
609,Capitol South,McLean,95.38,37,0.38792199622562384
610,Capitol South,Tysons Corner,57.2,39,0.6818181818181818
611,Capitol South,Greensboro,64.83,41,0.6324232608360327
612,Capitol South,Spring Hill,118.33,43,0.3633905180427618
613,Capitol South,Wiehle-Reston East,70.82,50,0.7060152499293986
614,Capitol South,Reston Town Center,70.12,52,0.7415858528237307
615,Capitol South,Herndon,73.9,55,0.7442489851150202
616,Capitol South,Innovation Center,,58,0.0
617,Capitol South,Dulles Airport,103.48,62,0.5991495941244684
618,Capitol South,Loudoun Gateway,,68,0.0
619,Capitol South,Ashburn,,72,0.0
620,Cleveland Park,Anacostia,73.05,28,0.3832991101984942
621,Cleveland Park,Anacostia,78.02,28,0.3588823378620867
622,Cleveland Park,Archives,47.2,19,0.4025423728813559
623,Cleveland Park,Archives,57.67,19,0.32946072481359456
624,Cleveland Park,Archives,50.93,19,0.3730610642057726
625,Cleveland Park,Archives,52.7,19,0.3605313092979127
626,Cleveland Park,Benning Road,79.25,34,0.42902208201892744
627,Cleveland Park,Benning Road,74.28,34,0.45772751750134627
628,Cleveland Park,Brookland-CUA,51.98,23,0.4424778761061947
629,Cleveland Park,Brookland-CUA,41.0,23,0.5609756097560976
630,Cleveland Park,Capitol South,61.62,24,0.3894839337877313
631,Cleveland Park,Capitol South,56.65,24,0.4236540158870256
632,Cleveland Park,Cleveland Park,5.88,0,1.0
633,Cleveland Park,Cleveland Park,4.97,0,1.0
634,Cleveland Park,Columbia Heights,14.53,24,1.6517549896765313
635,Cleveland Park,Columbia Heights,25.52,24,0.9404388714733543
636,Cleveland Park,Congress Heights,95.1,31,0.32597266035751843
637,Cleveland Park,Congress Heights,100.07,31,0.3097831517937444
638,Cleveland Park,Deanwood,93.62,36,0.38453321939756463
639,Cleveland Park,Deanwood,98.58,36,0.36518563603164944
640,Cleveland Park,Dupont Circle,21.42,4,0.18674136321195142
641,Cleveland Park,Dupont Circle,26.38,4,0.1516300227445034
642,Cleveland Park,Eastern Market,60.37,26,0.43067748881894985
643,Cleveland Park,Eastern Market,65.33,26,0.397979488749426
644,Cleveland Park,Farragut North,,7,0.0
645,Cleveland Park,Farragut West,27.45,19,0.6921675774134791
646,Cleveland Park,Farragut West,32.42,19,0.5860579888957433
647,Cleveland Park,Farragut West,22.97,19,0.827165868524162
648,Cleveland Park,Farragut West,27.93,19,0.6802721088435374
649,Cleveland Park,Federal Center SW,,22,0.0
650,Cleveland Park,Federal Triangle,,16,0.0
651,Cleveland Park,Foggy Bottom-GWU,42.0,21,0.5
652,Cleveland Park,Foggy Bottom-GWU,46.18,21,0.45474231268947596
653,Cleveland Park,Fort Totten,43.33,26,0.6000461573967228
654,Cleveland Park,Fort Totten,57.32,26,0.45359385903698535
655,Cleveland Park,Friendship Heights,9.32,7,0.7510729613733905
656,Cleveland Park,Friendship Heights,24.57,7,0.2849002849002849
657,Cleveland Park,Gallery Place,51.05,12,0.23506366307541626
658,Cleveland Park,Gallery Place,45.18,12,0.2656042496679947
659,Cleveland Park,Gallery Place,50.15,12,0.23928215353938187
660,Cleveland Park,Gallery Place,46.33,12,0.25901143967191886
661,Cleveland Park,Georgia Ave-Petworth,42.03,27,0.6423982869379015
662,Cleveland Park,Georgia Ave-Petworth,28.67,27,0.9417509591907917
663,Cleveland Park,Judiciary Square,,14,0.0
664,Cleveland Park,L'Enfant Plaza,,20,0.0
665,Cleveland Park,McPherson Sq,,17,0.0
666,Cleveland Park,Metro Center,39.75,10,0.25157232704402516
667,Cleveland Park,Metro Center,37.35,10,0.2677376171352075
668,Cleveland Park,Metro Center,13.15,10,0.7604562737642585
669,Cleveland Park,Metro Center,15.32,10,0.6527415143603134
670,Cleveland Park,Minnesota Ave,79.72,32,0.40140491721023586
671,Cleveland Park,Minnesota Ave,74.75,32,0.4280936454849498
672,Cleveland Park,Mt Vernon Sq,,19,0.0
673,Cleveland Park,Navy Yard-Ballpark,66.62,25,0.3752626838787151
674,Cleveland Park,Navy Yard-Ballpark,61.65,25,0.40551500405515006
675,Cleveland Park,NoMa-Gallaudet U,49.05,18,0.3669724770642202
676,Cleveland Park,NoMa-Gallaudet U,44.08,18,0.40834845735027225
677,Cleveland Park,Potomac Ave,68.53,28,0.40858018386108275
678,Cleveland Park,Potomac Ave,63.57,28,0.44045933616485766
679,Cleveland Park,Rhode Island Ave,56.53,20,0.3537944454272068
680,Cleveland Park,Rhode Island Ave,57.52,20,0.3477051460361613
681,Cleveland Park,Shaw-Howard U,37.37,20,0.5351886540005353
682,Cleveland Park,Shaw-Howard U,32.4,20,0.617283950617284
683,Cleveland Park,Shaw-Howard U,46.05,20,0.43431053203040176
684,Cleveland Park,Shaw-Howard U,41.07,20,0.48697345994643293
685,Cleveland Park,Smithsonian,47.05,18,0.38257173219978746
686,Cleveland Park,Smithsonian,42.08,18,0.42775665399239543
687,Cleveland Park,Smithsonian,44.77,18,0.40205494750949294
688,Cleveland Park,Smithsonian,49.73,18,0.361954554594812
689,Cleveland Park,Stadium-Armory,64.35,30,0.46620046620046623
690,Cleveland Park,Stadium-Armory,69.32,30,0.4327755337564917
691,Cleveland Park,Takoma,55.9,29,0.5187835420393561
692,Cleveland Park,Takoma,60.88,29,0.47634691195795004
693,Cleveland Park,Tenleytown-AU,15.88,5,0.3148614609571788
694,Cleveland Park,Tenleytown-AU,13.87,5,0.36049026676279744
695,Cleveland Park,U Street,28.37,22,0.7754670426506873
696,Cleveland Park,U Street,33.33,22,0.6600660066006601
697,Cleveland Park,Union Station,51.17,16,0.3126832128200117
698,Cleveland Park,Union Station,56.13,16,0.2850525565651167
699,Cleveland Park,Van Ness-UDC,,2,0.0
700,Cleveland Park,Waterfront,63.62,23,0.36152153410877086
701,Cleveland Park,Waterfront,55.32,23,0.41576283441793205
702,Cleveland Park,Waterfront,60.28,23,0.38155275381552756
703,Cleveland Park,Waterfront,58.65,23,0.39215686274509803
704,Cleveland Park,Woodley Park,5.6,2,0.35714285714285715
705,Cleveland Park,Woodley Park,10.57,2,0.1892147587511826
706,Cleveland Park,Shady Grove,66.77,29,0.4343267934701213
707,Cleveland Park,Shady Grove,32.32,29,0.8972772277227723
708,Cleveland Park,Rockville,48.38,25,0.5167424555601488
709,Cleveland Park,Rockville,78.3,25,0.31928480204342274
710,Cleveland Park,Twinbrook,28.13,22,0.782083185211518
711,Cleveland Park,Twinbrook,26.3,22,0.8365019011406843
712,Cleveland Park,Glenmont,70.65,41,0.5803255484784147
713,Cleveland Park,Glenmont,86.5,41,0.47398843930635837
714,Cleveland Park,White Flint,26.13,19,0.7271335629544585
715,Cleveland Park,White Flint,24.3,19,0.7818930041152263
716,Cleveland Park,Wheaton,76.03,38,0.49980270945679334
717,Cleveland Park,Wheaton,60.73,38,0.6257204017783633
718,Cleveland Park,Grosvenor-Strathmore,23.05,16,0.6941431670281996
719,Cleveland Park,Grosvenor-Strathmore,21.22,16,0.7540056550424129
720,Cleveland Park,Forest Glen,64.32,35,0.5441542288557214
721,Cleveland Park,Forest Glen,68.0,35,0.5147058823529411
722,Cleveland Park,Greenbelt,58.13,43,0.7397213142955444
723,Cleveland Park,Greenbelt,47.15,43,0.911983032873807
724,Cleveland Park,Medical Center,19.78,13,0.6572295247724974
