"term","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",1.42776121322478,0.666239054507383,139.799104749203,2.1430163896358,0.033843185955443
"log_off_peak_fare_per_mile",-0.416772646240595,0.0312122711386221,5977.22482484819,-13.3528458851839,4.26116215630739e-40
"log_new_auto_tt_per_mile2",0.333581325455566,0.0383778203341915,5967.79978030768,8.69203416324226,4.54101650089191e-18
"log_parking_user",0.153568839659629,0.00447604077580419,5930.55254631744,34.3090796870674,1.73933526166968e-235
"log_proportionhouses_O",0.242282799782093,0.0517401782506036,75.3341621952745,4.68268196929273,1.22679547649444e-05
"log_bus_line_count_O",0.129107177202276,0.0333830240597371,76.1667971617271,3.86745002403754,0.000230033971559528
"log_proportionhouses_D",0.295932695568058,0.0583960308068415,73.3796475483795,5.06768510597791,2.91043368320118e-06
"log_Proportion.night.weekend.jobs_D",0.00306522878806951,0.0182271607354893,72.9005678115189,0.168168198687212,0.866916641863622
"log_bus_line_count_D",0.128358071321172,0.0342774057318824,74.0300331168454,3.74468454016584,0.000354792229353915
"log_Median.household.income_D",-0.0808123261476711,0.0334566302654915,72.8262566687139,-2.41543531151803,0.0182264727498236
"terminal_dummy_2023_O",0.309660315588907,0.191613389753043,75.5044706525729,1.61606825070005,0.110250584372296
"terminal_dummy_2023_D",0.369945313149351,0.193532087749839,73.7100744376711,1.91154509544456,0.0598220938263754
