,Name_1,restaurantcount_p5
0,ANACOSTIA,4
1,ARCHIVES-NAVY MEMORIAL-PENN QUARTER,76
2,Ashburn,3
3,BALLSTON-MU,35
4,BENNING ROAD,1
5,BETHESDA,61
6,BRADDOCK ROAD,8
7,BRANCH AVE,2
8,BROOKLAND-CUA,10
9,CAPITOL SOUTH,17
10,CLARENDON,32
11,CLEVELAND PARK,16
12,COLUMBIA HEIGHTS,37
13,CONGRESS HEIGHTS,1
14,COURT HOUSE,24
15,CRYSTAL CITY,13
16,DUNN LORING-MERRIFIELD,13
17,DUPONT CIRCLE,103
18,EAST FALLS CHURCH,2
19,EASTERN MARKET,35
20,EISENHOWER AVENUE,13
21,FARRAGUT NORTH,124
22,FARRAGUT WEST,128
23,FEDERAL CENTER SW,2
24,FEDERAL TRIANGLE,50
25,FOGGY BOTTOM-GWU,50
26,FOREST GLEN,2
27,FRANCONIA-SPRINGFIELD,1
28,FRIENDSHIP HEIGHTS,15
29,GALLERY PL-CHINATOWN,131
30,GEORGIA AVE-PETWORTH,34
31,GLENMONT,3
32,GREENSBORO,11
33,HUNTINGTON,4
34,Innovation Center,2
35,JUDICIARY SQUARE,84
36,KING ST-OLD TOWN,10
37,L'ENFANT PLAZA,15
38,LARGO TOWN CENTER,1
39,MCLEAN,1
40,MCPHERSON SQUARE,101
41,MEDICAL CENTER,1
42,METRO CENTER,122
43,MINNESOTA AVE,1
44,MT VERNON SQ 7TH ST-CONVENTION CENTER,83
45,NAVY YARD-BALLPARK,32
46,NAYLOR ROAD,2
47,NOMA-GALLAUDET,18
48,PENTAGON CITY,18
49,POTOMAC AVE,1
50,PRINCE GEORGE'S PLAZA,7
51,RHODE ISLAND AVE-BRENTWOOD,4
52,ROCKVILLE,19
53,RONALD REAGAN WASHINGTON NATIONAL AIRPORT,5
54,ROSSLYN,22
55,Reston Town Center,17
56,SHADY GROVE,2
57,SHAW-HOWARD U,64
58,SILVER SPRING,42
59,SMITHSONIAN,9
60,SPRING HILL,10
61,STADIUM-ARMORY,1
62,TAKOMA,10
63,TENLEYTOWN-AU,10
64,TWINBROOK,11
65,TYSONS CORNER,27
66,U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,74
67,UNION STATION,13
68,VAN NESS-UDC,7
69,VIRGINIA SQUARE-GMU,17
70,WATERFRONT,18
71,WHEATON,19
72,WHITE FLINT,18
73,WIEHLE-RESTON EAST,4
74,WOODLEY PARK-ZOO/ADAMS MORGAN,18
