,Name_1,entertainmentcount_p5
0,ARCHIVES-NAVY MEMORIAL-PENN QUARTER,8
1,BALLSTON-MU,1
2,BETHESDA,3
3,BROOKLAND-CUA,4
4,CAPITOL SOUTH,1
5,CLEVELAND PARK,1
6,COLUMBIA HEIGHTS,5
7,CRYSTAL CITY,2
8,DUPONT CIRCLE,6
9,EASTERN MARKET,1
10,FARRAGUT NORTH,13
11,FARRAGUT WEST,11
12,FEDERAL TRIANGLE,9
13,FOGGY BOTTOM-GWU,3
14,FORT TOTTEN,1
15,GALLERY PL-CHINATOWN,12
16,GEORGIA AVE-PETWORTH,4
17,GREENSBORO,1
18,GROSVENOR-STRATHMORE,2
19,JUDICIARY SQUARE,6
20,L'ENFANT PLAZA,1
21,MCLEAN,1
22,MCPHERSON SQUARE,12
23,METRO CENTER,18
24,MINNESOTA AVE,1
25,MT VERNON SQ 7TH ST-CONVENTION CENTER,2
26,NOMA-GALLAUDET,1
27,ROCKVILLE,1
28,ROSSLYN,2
29,Reston Town Center,1
30,SHAW-HOWARD U,5
31,SILVER SPRING,3
32,SMITHSONIAN,2
33,TAKOMA,2
34,TENLEYTOWN-AU,1
35,U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,9
36,WATERFRONT,2
37,WHEATON,3
38,WHITE FLINT,1
39,WOODLEY PARK-ZOO/ADAMS MORGAN,1
