,ID,Name_1,bikelane,form3norm,dens2norm,prox3norm,conn6norm,parks2norm,peds4norm,safenorm,traffic5norm,aesttot3norm,paf2norm,sop7norm
0,MSTN_062,ADDISON ROAD-SEAT PLEASANT,26,83.59200289954057,54.188693158539685,3.348164807447055,76.88979503307266,1.3031860640116868,30.502679448378714,76.00926369114926,50.15929118245237,52.95655166378871,0.3203966425088607,46.88476493994673
1,MSTN_001,ANACOSTIA,18,80.75233865686366,40.849767220986855,10.285136612041576,75.57786254882812,3.4435319782093186,31.69374139115617,77.0807628167642,54.61616552198255,50.62929872048868,0.34610958523774793,47.47179134070893
2,MSTN_002,ARCHIVES-NAVY MEMORIAL-PENN QUARTER,63,84.42444941308543,57.47100279286597,32.165827319924404,74.20739047393482,44.088196533673425,37.76156039049621,85.0922970999799,60.36271161497754,59.12721021656187,1.6465959920793607,64.59846216035886
3,MSTN_065,ARLINGTON CEMETERY,9,76.43928347693549,32.61582067277696,6.7936069700453015,77.64600308736165,13.976021919939424,33.22998650868734,80.84252749549017,50.263900465435455,51.21898651123047,2.8074840161996995,46.922339256011504
4,MSTN_097,Ashburn,22,82.01180005255546,34.29251705781194,2.6664230332119776,76.20296559806998,0.17026193874555026,22.08107818355997,73.97736297490943,46.033364059360885,54.02358141018234,8.003689799807034e-06,41.704788984210516
5,MSTN_068,BALLSTON-MU,45,76.10785239208704,51.060174985863696,13.05339642338369,76.69132721999596,11.96984477843593,32.127580890436285,77.3075774488778,55.00975222094306,50.46975482195273,4.270821312183975,49.53690267326856
6,MSTN_003,BENNING ROAD,19,77.85024217458871,40.58830029865694,8.493382418649437,77.61685121976413,7.056466253993536,34.76668136500748,77.82312002125576,58.8187364177591,50.554369063067014,0.2926933104817821,48.828441225506374
7,MSTN_052,BETHESDA,21,79.97520175531282,48.80834279946946,14.289487726125286,75.31688633636014,12.673975282481194,33.829147210672275,75.15852724966692,55.57773271876963,51.15478668979664,4.431544951828466,50.844493189501364
8,MSTN_078,BRADDOCK ROAD,44,77.1236986489405,44.16837723587258,11.311092287487895,79.53685117313124,10.445237982009386,34.883617359486536,74.08580295261375,57.254315322749086,49.900318911070634,3.3912212101936223,49.49017944317778
9,MSTN_077,BRANCH AVE,8,80.8258796105018,47.053720306564166,4.6948262466179145,79.44517927903395,0.0,24.46449938973228,82.16646978357336,50.46830804007394,53.30129208407559,8.003689799807034e-06,45.474005797937615
10,MSTN_004,BROOKLAND-CUA,14,77.98105991985781,39.06377199862866,8.538793589206453,79.73710120992457,11.686949903402308,34.51044520587786,77.78728426940052,61.12148715756464,51.20723127811513,1.2944833633455604,50.15301223994652
11,MSTN_084,CAPITOL HEIGHTS,24,82.90307652673056,50.299277810779344,4.661572880215115,76.42887201235276,6.274551108639348,32.08871604367436,76.9103485915704,52.70661025330694,52.34418443191883,0.43226298778561906,48.05753656171833
12,MSTN_005,CAPITOL SOUTH,69,80.15159545002412,40.80220462950606,15.439629318388839,74.80475286375055,28.678038910206283,33.76129164143959,78.75285748825996,59.556648157215285,53.72537855369028,1.99487316236188,53.86019609566599
13,MSTN_058,CHEVERLY,14,82.79160374608533,55.46907577843502,3.660549784528798,80.48955706892342,5.5426236796885116,31.29728981955298,76.61669491077292,51.79715833992794,54.407215661016004,0.5768464676875737,48.787516196514545
14,MSTN_063,CLARENDON,51,76.70334016832254,49.538486936536884,13.361339416342267,78.50699208146435,12.195861070149618,35.58080223697727,74.9161271054866,55.35192176689536,49.83881895097635,4.646583622109531,50.33058909601908
15,MSTN_006,CLEVELAND PARK,29,76.06990079410741,42.579004616033835,8.23094168842816,79.41912116379034,18.540427654999135,35.587567153524176,75.62265129558375,58.033305496465964,50.078681406427606,1.7276712256170421,49.73973414513313
16,MSTN_053,COLLEGE PARK-U OF MD,5,75.91848085597604,56.18153954694371,10.241881607535356,79.22688017062798,17.190350639675597,33.66336356522794,77.53230398714899,54.881577354705264,47.568621949521365,0.6074367910017184,49.18724839754228
17,MSTN_007,COLUMBIA HEIGHTS,59,79.7285145795495,45.07294130125804,20.10487522540232,79.28399706086354,12.515620760938786,36.35178917222442,75.77384059698512,61.00431881190344,49.5801242485206,2.8266675162618053,53.28581119737921
18,MSTN_008,CONGRESS HEIGHTS,9,78.67966480430113,40.08050309627428,5.699898144520751,79.10703732551785,5.113111738514471,34.5478772089022,78.01398438269939,59.314863371192864,50.26062333693198,0.7607459445072073,48.34064061178207
19,MSTN_061,COURT HOUSE,45,76.37422446682028,49.72732695488081,15.005136813669521,77.27983491901315,11.082384952584466,35.139935382424966,75.96515610819927,55.04596252590709,48.827089899440104,5.805562099892756,50.14132310271366
20,MSTN_072,CRYSTAL CITY,29,74.44110713285558,46.20276637357824,13.006109295639337,78.80163960176355,20.410964418327964,34.13231038860246,79.62132041781557,53.99883788239722,50.30873443005132,3.0830544081095983,50.29315894273051
21,MSTN_009,DEANWOOD,14,79.54604718401716,45.990043293346055,5.82365166724145,80.42959546709395,6.858022277304345,34.67007329413941,79.09088574256097,60.83618820297134,52.68619898816089,8.003689799807034e-06,50.46096734113262
22,MSTN_085,LARGO TOWN CENTER,20,81.67779137871482,39.98368978500366,1.1521477645093745,78.90262673117898,0.0,27.410929203033447,83.51746602491899,55.93831474130804,53.39068443124945,8.003689799807034e-06,46.39331069335462
23,MSTN_095,Washington Dulles International Airport,1,68.89063921841708,24.47588937932795,1.9945898272774436,79.41042813387784,9.090909090909092,14.870176575400613,83.0605583190918,49.58168948780406,46.839610533280805,2.0276818643717642,37.38887326232348
24,MSTN_067,DUNN LORING-MERRIFIELD,4,79.55573188426882,41.80089229761168,4.647834830505904,76.41401202179665,2.531362083796001,29.861762476521868,70.31657817751862,51.29472666008528,51.958565246227174,1.520258173644453,44.71634379131509
25,MSTN_010,DUPONT CIRCLE,80,83.30760985332483,45.49165938150177,28.346002199581072,76.17863423256303,18.91910928581557,35.74776596726344,76.88333683274404,58.744415283203125,52.61339015700206,2.2603534762429027,56.45433236466278
