name_O,name_D,median_p5,count
ANACOSTIA,ARCHIVES-NAVY MEMORIAL-PENN QUARTER,22.166666666666668,4
ANACOSTIA,CAPITOL SOUTH,11.683333333333334,7
ANACOSTIA,EASTERN MARKET,11.808333333333334,16
ANACOSTIA,FARRAGUT NORTH,29.066666666666666,14
ANACOSTIA,FARRAGUT WEST,29.066666666666666,14
ANACOSTIA,FEDERAL CENTER SW,21.233333333333334,3
ANACOSTIA,GALLERY PL-CHINATOWN,22.9,5
ANACOSTIA,JUDICIARY SQUARE,22.166666666666668,4
ANACOSTIA,L'ENFANT PLAZA,21.233333333333334,3
ANACOSTIA,MCPHERSON SQUARE,29.066666666666666,16
ANACOSTIA,METRO CENTER,22.9,5
ANACOSTIA,NAVY YARD-BALLPARK,12.116666666666667,27
ANACOSTIA,NOMA-GALLAUDET,25.066666666666666,8
ANACOSTIA,POTOMAC AVE,11.283333333333333,4
ANACOSTIA,RHODE ISLAND AVE-BRENTWOOD,31.533333333333335,3
ANACOSTIA,UNION STATION,18.35,5
ANACOSTIA,WATERFRONT,19.541666666666668,6
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,ANACOSTIA,21.533333333333335,3
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,BROOKLAND-CUA,28.583333333333332,23
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,CAPITOL SOUTH,14.908333333333333,776
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,CLARENDON,30.166666666666668,5
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,CLEVELAND PARK,34.05,21
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,COLUMBIA HEIGHTS,21.28333333333333,154
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,COURT HOUSE,34.16666666666667,30
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,CRYSTAL CITY,32.31666666666667,41
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,DUPONT CIRCLE,18.458333333333332,834
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,EAST FALLS CHURCH,100.36666666666666,5
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,EASTERN MARKET,16.816666666666666,709
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,FARRAGUT NORTH,17.216666666666665,1123
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,FARRAGUT WEST,16.733333333333334,1279
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,FEDERAL CENTER SW,10.716666666666667,1297
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,FEDERAL TRIANGLE,14.866666666666667,1891
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,FOGGY BOTTOM-GWU,19.0,995
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,FORT TOTTEN,33.974999999999994,4
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,GALLERY PL-CHINATOWN,7.85,2816
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,GEORGIA AVE-PETWORTH,21.95,85
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,JUDICIARY SQUARE,7.916666666666667,2260
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,L'ENFANT PLAZA,11.85,1728
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,MCPHERSON SQUARE,11.966666666666667,2445
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,METRO CENTER,10.066666666666666,2974
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,MT VERNON SQ 7TH ST-CONVENTION CENTER,8.283333333333333,1696
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,NAVY YARD-BALLPARK,15.916666666666666,759
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,NOMA-GALLAUDET,12.283333333333333,1008
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,PENTAGON CITY,36.175,36
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,POTOMAC AVE,17.95,138
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,RHODE ISLAND AVE-BRENTWOOD,18.8,57
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,ROSSLYN,42.03333333333333,73
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,SHAW-HOWARD U,11.65,685
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,SILVER SPRING,38.55,3
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,SMITHSONIAN,22.8,1492
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,STADIUM-ARMORY,18.358333333333334,80
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,TAKOMA,51.233333333333334,6
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,14.7,637
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,UNION STATION,9.65,1590
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,VAN NESS-UDC,46.333333333333336,7
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,WATERFRONT,11.183333333333334,803
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,WOODLEY PARK-ZOO/ADAMS MORGAN,27.325000000000003,36
BALLSTON-MU,ARCHIVES-NAVY MEMORIAL-PENN QUARTER,73.3,7
BALLSTON-MU,CAPITOL SOUTH,54.3,5
BALLSTON-MU,CLARENDON,7.683333333333334,385
BALLSTON-MU,COLUMBIA HEIGHTS,37.53333333333333,11
BALLSTON-MU,COURT HOUSE,10.766666666666666,284
BALLSTON-MU,CRYSTAL CITY,35.29166666666667,10
BALLSTON-MU,DUPONT CIRCLE,29.958333333333332,12
BALLSTON-MU,EAST FALLS CHURCH,23.366666666666667,31
BALLSTON-MU,FARRAGUT NORTH,28.416666666666668,9
BALLSTON-MU,FARRAGUT WEST,34.275,14
BALLSTON-MU,FEDERAL CENTER SW,77.79166666666666,6
BALLSTON-MU,FEDERAL TRIANGLE,74.45833333333333,6
BALLSTON-MU,FOGGY BOTTOM-GWU,31.166666666666668,25
BALLSTON-MU,GALLERY PL-CHINATOWN,39.78333333333333,13
BALLSTON-MU,GEORGIA AVE-PETWORTH,32.483333333333334,4
BALLSTON-MU,JUDICIARY SQUARE,40.983333333333334,9
BALLSTON-MU,L'ENFANT PLAZA,72.83333333333333,13
BALLSTON-MU,MCPHERSON SQUARE,30.75,15
BALLSTON-MU,METRO CENTER,36.28333333333333,13
BALLSTON-MU,MT VERNON SQ 7TH ST-CONVENTION CENTER,38.03333333333333,6
BALLSTON-MU,NAVY YARD-BALLPARK,40.96666666666667,11
BALLSTON-MU,NOMA-GALLAUDET,32.400000000000006,10
BALLSTON-MU,PENTAGON CITY,23.266666666666666,9
BALLSTON-MU,RONALD REAGAN WASHINGTON NATIONAL AIRPORT,44.90833333333333,24
BALLSTON-MU,ROSSLYN,15.583333333333334,133
BALLSTON-MU,SHAW-HOWARD U,52.31666666666666,4
BALLSTON-MU,TYSONS CORNER,43.0,8
BALLSTON-MU,U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,52.016666666666666,7
BALLSTON-MU,UNION STATION,37.43333333333333,3
BALLSTON-MU,VIRGINIA SQUARE-GMU,4.9,389
BALLSTON-MU,WATERFRONT,50.45,5
BENNING ROAD,MINNESOTA AVE,5.958333333333334,8
BENNING ROAD,NOMA-GALLAUDET,36.46666666666667,3
BETHESDA,CLEVELAND PARK,31.225,10
BETHESDA,COLUMBIA HEIGHTS,37.400000000000006,8
BETHESDA,DUPONT CIRCLE,50.2,16
BETHESDA,FARRAGUT NORTH,50.516666666666666,11
BETHESDA,FARRAGUT WEST,79.91666666666666,6
BETHESDA,FEDERAL TRIANGLE,88.78333333333333,8
BETHESDA,FOGGY BOTTOM-GWU,52.675,16
BETHESDA,FRIENDSHIP HEIGHTS,14.6,41
BETHESDA,L'ENFANT PLAZA,78.1,3
BETHESDA,MCPHERSON SQUARE,72.0,4
BETHESDA,MEDICAL CENTER,9.958333333333334,16
BETHESDA,NOMA-GALLAUDET,65.65,3
BETHESDA,SILVER SPRING,28.916666666666668,5
BETHESDA,SMITHSONIAN,102.4,11
BETHESDA,TENLEYTOWN-AU,17.78333333333333,16
BETHESDA,U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,47.65,3
BETHESDA,UNION STATION,64.64166666666667,4
BETHESDA,VAN NESS-UDC,20.216666666666665,3
BETHESDA,WHITE FLINT,39.975,4
BETHESDA,WOODLEY PARK-ZOO/ADAMS MORGAN,34.233333333333334,11
BRADDOCK ROAD,CRYSTAL CITY,18.933333333333334,25
BRADDOCK ROAD,KING ST-OLD TOWN,6.3,98
BROOKLAND-CUA,ARCHIVES-NAVY MEMORIAL-PENN QUARTER,23.566666666666666,27
