Name_1,MSTN,line_count_p75,stop_count_p75
ADDISON ROAD-SEAT PLEASANT,MSTN_062,36.0,33.0
ANACOSTIA,MSTN_001,69.0,75.0
ARCHIVES-NAVY MEMORIAL-PENN QUARTER,MSTN_002,137.0,145.0
ARLINGTON CEMETERY,MSTN_065,17.0,1.0
BALLSTON-MU,MSTN_068,37.0,59.0
BENNING ROAD,MSTN_003,62.0,100.0
BETHESDA,MSTN_052,12.0,32.0
BRADDOCK ROAD,MSTN_078,37.0,44.0
BRANCH AVE,MSTN_077,15.0,17.0
BROOKLAND-CUA,MSTN_004,30.0,70.0
CAPITOL HEIGHTS,MSTN_084,38.0,69.0
CAPITOL SOUTH,MSTN_005,64.0,67.0
CHEVERLY,MSTN_058,21.0,23.0
CLARENDON,MSTN_063,18.0,41.0
CLEVELAND PARK,MSTN_006,33.0,47.0
COLLEGE PARK-U OF MD,MSTN_053,27.0,18.0
COLUMBIA HEIGHTS,MSTN_007,73.0,115.0
CONGRESS HEIGHTS,MSTN_008,79.0,128.0
COURT HOUSE,MSTN_061,20.0,49.0
CRYSTAL CITY,MSTN_072,105.0,41.0
DEANWOOD,MSTN_009,30.0,57.0
DUNN LORING-MERRIFIELD,MSTN_067,15.0,13.0
DUPONT CIRCLE,MSTN_010,134.0,134.0
EAST FALLS CHURCH,MSTN_064,24.0,45.0
EASTERN MARKET,MSTN_011,68.0,84.0
EISENHOWER AVENUE,MSTN_080,27.0,17.0
FARRAGUT NORTH,MSTN_012,138.0,171.0
FARRAGUT WEST,MSTN_013,139.0,165.0
FEDERAL CENTER SW,MSTN_014,72.0,82.0
FEDERAL TRIANGLE,MSTN_015,141.0,141.0
FOGGY BOTTOM-GWU,MSTN_016,104.0,118.0
FOREST GLEN,MSTN_048,16.0,13.0
FORT TOTTEN,MSTN_017,46.0,84.0
FRANCONIA-SPRINGFIELD,MSTN_083,10.0,10.0
FRIENDSHIP HEIGHTS,MSTN_018,42.0,49.0
GALLERY PL-CHINATOWN,MSTN_019,132.0,155.0
GEORGIA AVE-PETWORTH,MSTN_020,56.0,96.0
GLENMONT,MSTN_044,12.0,29.0
GREENBELT,MSTN_049,38.0,20.0
GREENSBORO,MSTN_089,11.0,7.0
GROSVENOR-STRATHMORE,MSTN_047,2.0,0.0
HUNTINGTON,MSTN_082,12.0,15.0
JUDICIARY SQUARE,MSTN_021,108.0,140.0
KING ST-OLD TOWN,MSTN_079,37.0,23.0
L'ENFANT PLAZA,MSTN_022,81.0,80.0
LANDOVER,MSTN_057,12.0,33.0
LARGO TOWN CENTER,MSTN_085,20.0,30.0
MCLEAN,MSTN_087,15.0,23.0
MCPHERSON SQUARE,MSTN_023,150.0,177.0
MEDICAL CENTER,MSTN_050,10.0,31.0
METRO CENTER,MSTN_024,146.0,149.0
MINNESOTA AVE,MSTN_025,56.0,71.0
MORGAN BOULEVARD,MSTN_086,24.0,14.0
MT VERNON SQ 7TH ST-CONVENTION CENTER,MSTN_026,129.0,164.0
NAVY YARD-BALLPARK,MSTN_027,44.0,47.0
NAYLOR ROAD,MSTN_074,40.0,62.0
NEW CARROLLTON,MSTN_056,56.0,44.0
NOMA-GALLAUDET,MSTN_028,59.0,90.0
PENTAGON,MSTN_070,102.0,37.0
PENTAGON CITY,MSTN_071,105.0,65.0
POTOMAC AVE,MSTN_029,64.0,69.0
PRINCE GEORGE'S PLAZA,MSTN_054,25.0,55.0
RHODE ISLAND AVE-BRENTWOOD,MSTN_030,63.0,74.0
ROCKVILLE,MSTN_042,16.0,18.0
RONALD REAGAN WASHINGTON NATIONAL AIRPORT,MSTN_073,27.0,26.0
ROSSLYN,MSTN_060,31.0,38.0
SHADY GROVE,MSTN_041,10.0,7.0
SHAW-HOWARD U,MSTN_031,59.0,117.0
SILVER SPRING,MSTN_051,68.0,67.0
SMITHSONIAN,MSTN_032,90.0,93.0
SOUTHERN AVENUE,MSTN_076,61.0,79.0
SPRING HILL,MSTN_090,6.0,1.0
STADIUM-ARMORY,MSTN_033,51.0,61.0
SUITLAND,MSTN_075,26.0,29.0
TAKOMA,MSTN_034,28.0,51.0
TENLEYTOWN-AU,MSTN_035,47.0,54.0
TWINBROOK,MSTN_043,5.0,7.0
TYSONS CORNER,MSTN_088,15.0,15.0
U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO,MSTN_036,60.0,117.0
UNION STATION,MSTN_037,64.0,102.0
VAN DORN STREET,MSTN_081,13.0,18.0
VAN NESS-UDC,MSTN_038,44.0,52.0
VIENNA/FAIRFAX-GMU,MSTN_069,13.0,19.0
VIRGINIA SQUARE-GMU,MSTN_066,40.0,55.0
WATERFRONT,MSTN_039,47.0,54.0
WEST FALLS CHURCH-VT/UVA,MSTN_059,15.0,19.0
WEST HYATTSVILLE,MSTN_055,22.0,39.0
WHEATON,MSTN_046,29.0,28.0
WHITE FLINT,MSTN_045,11.0,14.0
WIEHLE-RESTON EAST,MSTN_091,6.0,1.0
WOODLEY PARK-ZOO/ADAMS MORGAN,MSTN_040,44.0,60.0
Reston Town Center,MSTN_092,2.0,0.0
Herndon,MSTN_093,2.0,1.0
Innovation Center,MSTN_094,2.0,0.0
Washington Dulles International Airport,MSTN_095,2.0,2.0
Loudoun Gateway,MSTN_096,0.0,0.0
Ashburn,MSTN_097,0.0,0.0
