"A202100 - Total Workers (1) (Workers 16 years and over)"
"Current date: 1/11/2024 1:34:33 PM (Eastern Standard Time)"
"WORKPLACE","Output","Workers 16 and Over",
"TAZ 00010029, District of Columbia, District of Columbia","Margin of Error","686"
"TAZ 00010030, District of Columbia, District of Columbia","Estimate","7,445"
"TAZ 00010030, District of Columbia, District of Columbia","Margin of Error","602"
"TAZ 00010031, District of Columbia, District of Columbia","Estimate","2,415"
"TAZ 00010031, District of Columbia, District of Columbia","Margin of Error","288"
"TAZ 00010033, District of Columbia, District of Columbia","Estimate","5,785"
"TAZ 00010033, District of Columbia, District of Columbia","Margin of Error","509"
"TAZ 00010034, District of Columbia, District of Columbia","Estimate","1,730"
"TAZ 00010034, District of Columbia, District of Columbia","Margin of Error","254"
"TAZ 00010035, District of Columbia, District of Columbia","Estimate","5,350"
"TAZ 00010035, District of Columbia, District of Columbia","Margin of Error","551"
"TAZ 00010036, District of Columbia, District of Columbia","Estimate","9,810"
"TAZ 00010036, District of Columbia, District of Columbia","Margin of Error","726"
"TAZ 00010037, District of Columbia, District of Columbia","Estimate","13,075"
"TAZ 00010037, District of Columbia, District of Columbia","Margin of Error","944"
"TAZ 00010038, District of Columbia, District of Columbia","Estimate","16,800"
"TAZ 00010038, District of Columbia, District of Columbia","Margin of Error","900"
"TAZ 00010039, District of Columbia, District of Columbia","Estimate","11,915"
"TAZ 00010039, District of Columbia, District of Columbia","Margin of Error","608"
"TAZ 00010040, District of Columbia, District of Columbia","Estimate","15,995"
"TAZ 00010040, District of Columbia, District of Columbia","Margin of Error","782"
"TAZ 00010041, District of Columbia, District of Columbia","Estimate","1,030"
"TAZ 00010041, District of Columbia, District of Columbia","Margin of Error","291"
"TAZ 00010044, District of Columbia, District of Columbia","Estimate","8,220"
"TAZ 00010044, District of Columbia, District of Columbia","Margin of Error","594"
"TAZ 00010045, District of Columbia, District of Columbia","Estimate","1,460"
"TAZ 00010045, District of Columbia, District of Columbia","Margin of Error","291"
"TAZ 00010047, District of Columbia, District of Columbia","Estimate","2,035"
"TAZ 00010047, District of Columbia, District of Columbia","Margin of Error","341"
"TAZ 00010049, District of Columbia, District of Columbia","Estimate","2,685"
"TAZ 00010049, District of Columbia, District of Columbia","Margin of Error","358"
"TAZ 00010050, District of Columbia, District of Columbia","Estimate","3,935"
"TAZ 00010050, District of Columbia, District of Columbia","Margin of Error","450"
"TAZ 00010051, District of Columbia, District of Columbia","Estimate","1,160"
"TAZ 00010051, District of Columbia, District of Columbia","Margin of Error","256"
"TAZ 00010054, District of Columbia, District of Columbia","Estimate","2,045"
"TAZ 00010054, District of Columbia, District of Columbia","Margin of Error","322"
"TAZ 00010055, District of Columbia, District of Columbia","Estimate","9,330"
"TAZ 00010055, District of Columbia, District of Columbia","Margin of Error","670"
"TAZ 00010056, District of Columbia, District of Columbia","Estimate","10,145"
"TAZ 00010056, District of Columbia, District of Columbia","Margin of Error","653"
"TAZ 00010058, District of Columbia, District of Columbia","Estimate","3,515"
"TAZ 00010058, District of Columbia, District of Columbia","Margin of Error","361"
"TAZ 00010059, District of Columbia, District of Columbia","Estimate","1,600"
"TAZ 00010059, District of Columbia, District of Columbia","Margin of Error","247"
"TAZ 00010060, District of Columbia, District of Columbia","Estimate","3,075"
"TAZ 00010060, District of Columbia, District of Columbia","Margin of Error","437"
"TAZ 00010062, District of Columbia, District of Columbia","Estimate","6,370"
"TAZ 00010062, District of Columbia, District of Columbia","Margin of Error","657"
"TAZ 00010063, District of Columbia, District of Columbia","Estimate","2,610"
"TAZ 00010063, District of Columbia, District of Columbia","Margin of Error","382"
"TAZ 00010064, District of Columbia, District of Columbia","Estimate","2,360"
"TAZ 00010064, District of Columbia, District of Columbia","Margin of Error","295"
"TAZ 00010066, District of Columbia, District of Columbia","Estimate","5,935"
"TAZ 00010066, District of Columbia, District of Columbia","Margin of Error","593"
"TAZ 00010067, District of Columbia, District of Columbia","Estimate","295"
"TAZ 00010067, District of Columbia, District of Columbia","Margin of Error","117"
"TAZ 00010068, District of Columbia, District of Columbia","Estimate","925"
"TAZ 00010068, District of Columbia, District of Columbia","Margin of Error","203"
"TAZ 00010069, District of Columbia, District of Columbia","Estimate","540"
"TAZ 00010069, District of Columbia, District of Columbia","Margin of Error","149"
"TAZ 00010070, District of Columbia, District of Columbia","Estimate","1,050"
"TAZ 00010070, District of Columbia, District of Columbia","Margin of Error","217"
"TAZ 00010072, District of Columbia, District of Columbia","Estimate","595"
"TAZ 00010072, District of Columbia, District of Columbia","Margin of Error","136"
"TAZ 00010075, District of Columbia, District of Columbia","Estimate","2,685"
"TAZ 00010075, District of Columbia, District of Columbia","Margin of Error","343"
"TAZ 00010076, District of Columbia, District of Columbia","Estimate","505"
"TAZ 00010076, District of Columbia, District of Columbia","Margin of Error","135"
"TAZ 00010077, District of Columbia, District of Columbia","Estimate","285"
"TAZ 00010077, District of Columbia, District of Columbia","Margin of Error","167"
"TAZ 00010078, District of Columbia, District of Columbia","Estimate","410"
"TAZ 00010078, District of Columbia, District of Columbia","Margin of Error","159"
"TAZ 00010081, District of Columbia, District of Columbia","Estimate","1,025"
"TAZ 00010081, District of Columbia, District of Columbia","Margin of Error","228"
"TAZ 00010082, District of Columbia, District of Columbia","Estimate","5,240"
"TAZ 00010082, District of Columbia, District of Columbia","Margin of Error","499"
"TAZ 00010087, District of Columbia, District of Columbia","Estimate","505"
"TAZ 00010087, District of Columbia, District of Columbia","Margin of Error","149"
"TAZ 00010089, District of Columbia, District of Columbia","Estimate","245"
"TAZ 00010089, District of Columbia, District of Columbia","Margin of Error","107"
"TAZ 00010090, District of Columbia, District of Columbia","Estimate","440"
"TAZ 00010090, District of Columbia, District of Columbia","Margin of Error","134"
"TAZ 00010091, District of Columbia, District of Columbia","Estimate","565"
"TAZ 00010091, District of Columbia, District of Columbia","Margin of Error","115"
"TAZ 00010094, District of Columbia, District of Columbia","Estimate","4,255"
"TAZ 00010094, District of Columbia, District of Columbia","Margin of Error","436"
"TAZ 00010095, District of Columbia, District of Columbia","Estimate","530"
"TAZ 00010095, District of Columbia, District of Columbia","Margin of Error","138"
"TAZ 00010096, District of Columbia, District of Columbia","Estimate","720"
"TAZ 00010096, District of Columbia, District of Columbia","Margin of Error","200"
"TAZ 00010100, District of Columbia, District of Columbia","Estimate","480"
"TAZ 00010100, District of Columbia, District of Columbia","Margin of Error","128"
"TAZ 00010104, District of Columbia, District of Columbia","Estimate","605"
"TAZ 00010104, District of Columbia, District of Columbia","Margin of Error","151"
"TAZ 00010105, District of Columbia, District of Columbia","Estimate","650"
"TAZ 00010105, District of Columbia, District of Columbia","Margin of Error","157"
"TAZ 00010106, District of Columbia, District of Columbia","Estimate","450"
"TAZ 00010106, District of Columbia, District of Columbia","Margin of Error","176"
"TAZ 00010107, District of Columbia, District of Columbia","Estimate","400"
"TAZ 00010107, District of Columbia, District of Columbia","Margin of Error","120"
"TAZ 00010120, District of Columbia, District of Columbia","Estimate","280"
"TAZ 00010120, District of Columbia, District of Columbia","Margin of Error","118"
"TAZ 00010121, District of Columbia, District of Columbia","Estimate","380"
"TAZ 00010121, District of Columbia, District of Columbia","Margin of Error","115"
"TAZ 00010122, District of Columbia, District of Columbia","Estimate","455"
"TAZ 00010122, District of Columbia, District of Columbia","Margin of Error","164"
"TAZ 00010123, District of Columbia, District of Columbia","Estimate","335"
"TAZ 00010123, District of Columbia, District of Columbia","Margin of Error","114"
"TAZ 00010124, District of Columbia, District of Columbia","Estimate","800"
"TAZ 00010124, District of Columbia, District of Columbia","Margin of Error","190"
"TAZ 00010125, District of Columbia, District of Columbia","Estimate","700"
"TAZ 00010125, District of Columbia, District of Columbia","Margin of Error","220"
"TAZ 00010126, District of Columbia, District of Columbia","Estimate","725"
"TAZ 00010126, District of Columbia, District of Columbia","Margin of Error","235"
"TAZ 00010127, District of Columbia, District of Columbia","Estimate","260"
"TAZ 00010127, District of Columbia, District of Columbia","Margin of Error","129"
"TAZ 00010128, District of Columbia, District of Columbia","Estimate","255"
