,pairs,new_auto_tt2,new_auto_tt_per_mile2
0,MSTN_0620MSTN_062,6.6998432,66.998432
1,MSTN_0010MSTN_062,13.180000305175781,1.6413450241088867
2,MSTN_0020MSTN_062,13.079999923706055,1.7187910079956055
3,MSTN_0650MSTN_062,30.537345979999998,2.681066372256365
4,MSTN_0680MSTN_062,40.66999816894531,3.1164748668670654
5,MSTN_0030MSTN_062,4.900000095367432,2.0081968307495117
6,MSTN_0520MSTN_062,37.58000183105469,2.591724157333374
7,MSTN_0780MSTN_062,38.34000015258789,3.072115421295166
8,MSTN_0770MSTN_062,13.720000267028809,1.2919020652770996
9,MSTN_0040MSTN_062,14.789999961853027,1.590322494506836
10,MSTN_0840MSTN_062,1.7200000286102295,1.7551020383834839
11,MSTN_0050MSTN_062,10.390000343322754,1.618380069732666
12,MSTN_0580MSTN_062,6.449999809265137,1.11785089969635
13,MSTN_0630MSTN_062,37.880001068115234,3.143568515777588
14,MSTN_0060MSTN_062,32.07865484,2.646753699669967
15,MSTN_0530MSTN_062,21.739999771118164,1.7145110368728638
16,MSTN_0070MSTN_062,18.510000228881836,1.944327712059021
17,MSTN_0080MSTN_062,13.550000190734863,1.5574712753295898
18,MSTN_0610MSTN_062,36.54999923706055,3.159032106399536
19,MSTN_0720MSTN_062,35.81999969482422,3.5677289962768555
20,MSTN_0090MSTN_062,5.940000057220459,1.1165413856506348
21,MSTN_0850MSTN_062,12.270000457763672,4.305263519287109
22,MSTN_0670MSTN_062,58.45000076293945,2.982142925262451
23,MSTN_0100MSTN_062,17.329999923706055,1.87960946559906
24,MSTN_0640MSTN_062,51.59000015258789,3.33484148979187
25,MSTN_0110MSTN_062,9.760000228881836,1.6486486196517944
26,MSTN_0800MSTN_062,34.95000076293945,2.5307748317718506
27,MSTN_0120MSTN_062,15.029999732971191,1.704081654548645
28,MSTN_0130MSTN_062,15.529999732971191,1.752821683883667
29,MSTN_0140MSTN_062,11.819999694824219,1.6885713338851929
30,MSTN_0150MSTN_062,13.260000228881836,1.6700252294540405
31,MSTN_0160MSTN_062,16.81999969482422,1.7931768894195557
32,MSTN_0480MSTN_062,34.5,2.254901885986328
33,MSTN_0170MSTN_062,18.360000610351562,1.7469077110290527
34,MSTN_0830MSTN_062,51.34000015258789,2.5734333992004395
35,MSTN_0180MSTN_062,28.56999969482422,2.190950870513916
36,MSTN_0190MSTN_062,13.210000038146973,1.689258337020874
37,MSTN_0200MSTN_062,18.34000015258789,1.873340129852295
38,MSTN_0440MSTN_062,45.58000183105469,2.4785211086273193
39,MSTN_0490MSTN_062,26.06999969482422,1.7461485862731934
40,MSTN_0890MSTN_062,54.75489752,2.395227363079615
41,MSTN_0470MSTN_062,43.630001068115234,2.517599582672119
42,MSTN_0820MSTN_062,36.75,2.571728467941284
43,MSTN_0540MSTN_062,20.25,1.7456896305084229
44,MSTN_0210MSTN_062,12.640000343322754,1.6101911067962646
45,MSTN_0790MSTN_062,37.63999938964844,2.871090888977051
46,MSTN_0220MSTN_062,12.59000015258789,1.7199453115463257
47,MSTN_0570MSTN_062,13.100000381469727,1.845070481300354
48,MSTN_0870MSTN_062,51.60893834,2.4150181722040243
49,MSTN_0230MSTN_062,14.539999961853027,1.7126030921936035
50,MSTN_0500MSTN_062,39.02000045776367,2.5370612144470215
51,MSTN_0240MSTN_062,13.710000038146973,1.6925925016403198
52,MSTN_0250MSTN_062,7.630000114440918,1.516898512840271
53,MSTN_0860MSTN_062,4.860000133514404,3.1764707565307617
54,MSTN_0260MSTN_062,13.359999656677246,1.6432963609695435
55,MSTN_0270MSTN_062,12.600000381469727,1.6513761281967163
56,MSTN_0740MSTN_062,9.220000267028809,1.018784523010254
57,MSTN_0560MSTN_062,15.6899995803833,1.8656361103057861
58,MSTN_0280MSTN_062,11.720000267028809,1.431013584136963
59,MSTN_0450MSTN_062,47.31999969482422,2.5386266708374023
60,MSTN_0700MSTN_062,34.27000045776367,3.649627208709717
61,MSTN_0710MSTN_062,34.349998474121094,3.4767205715179443
62,MSTN_0290MSTN_062,9.729999542236328,1.825515866279602
63,MSTN_0300MSTN_062,12.880000114440918,1.478760004043579
64,MSTN_0420MSTN_062,54.41999816894531,2.507833957672119
65,MSTN_0730MSTN_062,31.74083372,2.653915862876254
66,MSTN_0600MSTN_062,34.90999984741211,3.29339599609375
67,MSTN_0410MSTN_062,62.22999954223633,2.564070701599121
68,MSTN_0310MSTN_062,13.640000343322754,1.6199525594711304
69,MSTN_0510MSTN_062,29.239999771118164,2.131195306777954
70,MSTN_0320MSTN_062,12.890000343322754,1.6632258892059326
71,MSTN_0760MSTN_062,11.520000457763672,1.2914798259735107
72,MSTN_0900MSTN_062,56.106182,2.3874971063829786
73,MSTN_0330MSTN_062,8.390000343322754,1.7700423002243042
74,MSTN_0750MSTN_062,7.949999809265137,0.8475479483604431
75,MSTN_0340MSTN_062,22.639999389648438,1.8361718654632568
76,MSTN_0350MSTN_062,27.979999542236328,2.2619240283966064
